name,affiliations,author_id,cited_by,interests
Laura Sbaffi,"Senior Lecturer, Information School, University of Sheffield",TMKfR4AAAAAJ,3390,"['Social care', 'trust in information', 'information literacy']"
Claudiu S. Firan,,SRc8aowAAAAJ,1744,[]
Elena Simperl,"Professor of computer science, King's College London, United Kingdom",xB7s3wgAAAAJ,7038,"['knowledge graphs', 'knowledge engineering', 'open data', 'social computing', 'human computation']"
Andrew Turpin,Lions Eye Institute and Curtin University,lCZblDwAAAAJ,6903,"['Human vision', 'Computer vision', 'Information Science', 'Data Analysis']"
Cristina Sarasua,University of Zurich,i_2lvZwAAAAJ,777,"['CSCW', 'Digital Democracy', 'Civic Technology', 'Data Analytics', 'Knowledge Graphs']"
Luis-Daniel Ibáñez,University of Southampton,Vf-AkkUAAAAJ,697,"['Linked Data', 'Collaborative Systems', 'Optimistic Replication', 'Provenance Semirings', 'Update Exchange']"
Marco Basaldella,Amazon,SRvx2QoAAAAJ,526,[]
Mattia Zeni,"Databricks, TomTom, IBM Research, University of Trento, Create-net",DL18RZEAAAAJ,617,"['Big Data', 'AI', 'Machine Learning', 'Human-Centered AI', 'Privacy-Aware Machine Learning']"
Dante Degl'Innocenti,Datamantix,Ay6L7NsAAAAJ,116,"['Artificial Intelligence', 'Deep Learning', 'Natural Language Processing', 'Data Science', 'Machine Learning']"
Pavlos Vougiouklis,Huawei Technologies,9J7YeR0AAAAJ,585,[]
Jon Hare,"NOAA Fisheries, Northeast Fisheries Science Center",d_HvmVsAAAAJ,12323,"['oceanography', 'fisheries', 'climate change', 'management']"
Carlo Alberto Beltrami,"Professore, Università di Udine",EZrMWWMAAAAJ,18402,['cellule staminali']
Richard Gomer,"Professor of Biology, Texas A&M University",z1YBrC4AAAAJ,10351,"['fibrosis', 'Dictyostelium', 'cell density sensing']"
